Dataset,Algorithm,Classifier,Centroids,Accuracy,Precision,Recall,F1,n_clusters,error
FingerMovements,KNN,Majority Vote,0,0.488095238,0.487522282,0.488095238,0.482150538,7,
FingerMovements,KNN,Majority Vote,0,0.511904762,0.511965812,0.511904762,0.511281396,8,
FingerMovements,KNN,Majority Vote,0,0.488095238,0.487755102,0.488095238,0.484515485,9,
FingerMovements,KNN,Majority Vote,0,0.523809524,0.523809524,0.523809524,0.523809524,10,
FingerMovements,KNN,Majority Vote,0,0.511904762,0.512477718,0.511904762,0.506236559,11,
FingerMovements,KNN,Majority Vote,0,0.511904762,0.511911514,0.511904762,0.511835578,12,
FingerMovements,KNN,Majority Vote,0,0.488095238,0.487755102,0.488095238,0.484515485,13,
FingerMovements,KNN,Majority Vote,0,0.511904762,0.511911514,0.511904762,0.511835578,14,
FingerMovements,KNN,Majority Vote,0,0.5,0.5,0.5,0.495423341,15,
FingerMovements,Local DISSFCM,Turn Vote,19,0.583333333,0.604775481,0.583333333,0.560866318,2,0.01
FingerMovements,Local DISSFCM,Majority Vote,19,0.583333333,0.604775481,0.583333333,0.560866318,2,0.01
FingerMovements,Local DISSFCM,Min Move,20,0.55952381,0.585020243,0.55952381,0.523824115,2,0.01
FingerMovements,Local DISSFCM,Turn Vote,21,0.55952381,0.560379528,0.55952381,0.557957616,2,0.1
FingerMovements,Local DISSFCM,Majority Vote,15,0.535714286,0.535734543,0.535714286,0.535648476,2,0.1
FingerMovements,Local DISSFCM,Min Move,14,0.535714286,0.539498433,0.535714286,0.524321185,2,0.1
FingerMovements,Local DISSFCM,Turn Vote,14,0.547619048,0.577205882,0.547619048,0.49968652,2,1
FingerMovements,Local DISSFCM,Majority Vote,14,0.547619048,0.570707071,0.547619048,0.507407407,2,1
FingerMovements,Local DISSFCM,Min Move,14,0.55952381,0.601449275,0.55952381,0.50877193,2,1
FingerMovements,Local DISSFCM,Turn Vote,19,0.535714286,0.578455791,0.535714286,0.462510254,2,10
FingerMovements,Local DISSFCM,Majority Vote,26,0.55952381,0.55982906,0.55952381,0.55896126,2,10
FingerMovements,Local DISSFCM,Min Move,26,0.535714286,0.542711864,0.535714286,0.515885917,2,10
FingerMovements,Local DISSFCM,Turn Vote,25,0.547619048,0.548611111,0.547619048,0.545299145,4,0.01
FingerMovements,Local DISSFCM,Majority Vote,25,0.535714286,0.536734694,0.535714286,0.532467532,4,0.01
FingerMovements,Local DISSFCM,Min Move,4,0.547619048,0.548611111,0.547619048,0.545299145,4,0.01
FingerMovements,Local DISSFCM,Turn Vote,27,0.595238095,0.598823529,0.595238095,0.591533181,4,0.1
FingerMovements,Local DISSFCM,Majority Vote,27,0.595238095,0.600961538,0.595238095,0.589419206,4,0.1
FingerMovements,Local DISSFCM,Min Move,21,0.547619048,0.550480769,0.547619048,0.541115584,4,0.1
