Algorithm,n_clusters,error,Classifier,Centroids,Accuracy,Precision,Recall,F1
Local DISSFCM,4,1.0,Majority Vote,18.454545454545453,0.5422077923636364,0.565495987,0.5422077923636364,0.5248992836363636
Local DISSFCM,4,1.0,Min Move,12.272727272727273,0.5562770563636363,0.5954850333636363,0.5562770563636363,0.5101115173636365
Local DISSFCM,4,1.0,Turn Vote,19.09090909090909,0.5411255412727273,0.5633857704545455,0.5411255412727273,0.51671348
Local DISSFCM,4,10.0,Majority Vote,19.818181818181817,0.5476190477272728,0.5517334673636364,0.5476190477272728,0.5282569166363636
Local DISSFCM,4,10.0,Min Move,8.272727272727273,0.5746753248181818,0.5957861433636363,0.5746753248181818,0.5520120195454545
Local DISSFCM,4,10.0,Turn Vote,19.818181818181817,0.5476190476363636,0.5525907468181818,0.5476190476363636,0.5333021714545455
Local DISSFCM,6,0.01,Majority Vote,23.818181818181817,0.5432900434545455,0.5615463653636363,0.5432900434545455,0.5234330928181818
Local DISSFCM,6,0.01,Min Move,16.636363636363637,0.5692640691818182,0.5886417371818182,0.5692640691818182,0.5467202340909091
Local DISSFCM,6,0.01,Turn Vote,24.181818181818183,0.5411255412727273,0.559400829,0.5411255412727273,0.5202467576363636
Local DISSFCM,6,0.1,Majority Vote,25.0,0.5508658008181818,0.5603204325454545,0.5508658008181818,0.5385913322727273
Local DISSFCM,6,0.1,Min Move,12.272727272727273,0.5378787880909092,0.5808934412727272,0.5378787880909092,0.49628758645454546
Local DISSFCM,6,0.1,Turn Vote,24.818181818181817,0.5487012986363636,0.5582701124545454,0.5487012986363636,0.5352511484545455
Local DISSFCM,6,1.0,Majority Vote,24.636363636363637,0.5422077924545454,0.5447665933636364,0.5422077924545454,0.5312432212727273
Local DISSFCM,6,1.0,Min Move,14.363636363636363,0.5487012990000001,0.6020899498181819,0.5487012990000001,0.4974027450909091
Local DISSFCM,6,1.0,Turn Vote,26.181818181818183,0.5411255413636363,0.5435819585454545,0.5411255413636363,0.5285430455454546
Local DISSFCM,6,10.0,Majority Vote,19.90909090909091,0.5519480520000001,0.5586056736363636,0.5519480520000001,0.5377376022727273
Local DISSFCM,6,10.0,Min Move,14.272727272727273,0.5487012987272727,0.5514878950000001,0.5487012987272727,0.49936549772727273
Local DISSFCM,6,10.0,Turn Vote,21.636363636363637,0.5476190475454547,0.5605990701818182,0.5476190475454547,0.523599443
