Dataset,Algorithm,Classifier,Centroids,Accuracy,Precision,Recall,F1,n_clusters
RacketSports,Local IFCM,Min Move,8,0.5573770491803278,0.5395057544024044,0.5573770491803278,0.532692396256648,8
RacketSports,Local IFCM,Turn Vote,12,0.5245901639344263,0.5827123695976155,0.5245901639344263,0.5218556915351882,12
RacketSports,Local IFCM,Majority Vote,12,0.5737704918032787,0.7178892752663244,0.5737704918032787,0.5794973665431358,12
RacketSports,Local IFCM,Min Move,12,0.5573770491803278,0.5419098229926531,0.5573770491803278,0.5411105591433459,12
RacketSports,Local IFCM,Turn Vote,16,0.6065573770491803,0.6296610493331803,0.6065573770491803,0.6108107244431662,16
RacketSports,Local IFCM,Majority Vote,16,0.5901639344262295,0.6284815366782579,0.5901639344262295,0.5982719092814003,16
RacketSports,Local IFCM,Min Move,16,0.6065573770491803,0.6205142762519812,0.6065573770491803,0.6078103044496488,16
RacketSports,Local IFCM,Turn Vote,20,0.6065573770491803,0.6327868852459017,0.6065573770491803,0.5506500085060675,20
RacketSports,Local IFCM,Majority Vote,20,0.6065573770491803,0.6276166456494324,0.6065573770491803,0.5960441585088279,20
RacketSports,Local IFCM,Min Move,20,0.6065573770491803,0.6119780251892113,0.6065573770491803,0.5703247730332549,20
RacketSports,Local IFCM,Turn Vote,24,0.639344262295082,0.6340180526979491,0.639344262295082,0.6321623731459797,24
RacketSports,Local IFCM,Majority Vote,24,0.639344262295082,0.6700220496596683,0.639344262295082,0.6365907316726989,24
RacketSports,Local IFCM,Min Move,24,0.6721311475409836,0.6818346190935392,0.6721311475409836,0.6746455730062287,24
RacketSports,Local IFCM,Turn Vote,28,0.7049180327868853,0.7270409008113926,0.7049180327868853,0.6955987394236777,28
RacketSports,Local IFCM,Majority Vote,28,0.6721311475409836,0.6766766020864381,0.6721311475409836,0.6648555990140591,28
RacketSports,Local IFCM,Min Move,28,0.6557377049180327,0.6585904853744777,0.6557377049180327,0.6542782090111545,28
RacketSports,Local IFCM,Turn Vote,32,0.6721311475409836,0.698955534842919,0.6721311475409836,0.6744035856528791,32
RacketSports,Local IFCM,Majority Vote,32,0.6721311475409836,0.6986918363967544,0.6721311475409836,0.6641694628191609,32
RacketSports,Local IFCM,Min Move,32,0.6229508196721312,0.6293760883924818,0.6229508196721312,0.6122701160205057,32
RacketSports,Local IFCM,Turn Vote,36,0.6721311475409836,0.6798850655623737,0.6721311475409836,0.6682136800452233,36
